id,sentimento_op30,palavras_op30,sentimento_sent,palavras_sent,palavras
1,14,37,4,6,408
2,-9,59,-3,8,615
3,5,11,1,1,108
4,2,38,2,12,391
5,-8,30,-2,4,195
6,0,0,0,0,15
7,-2,39,-1,7,340
8,0,1,0,0,42
9,-2,20,-2,3,133
10,-1,48,-5,9,340
11,1,8,-1,3,136
12,1,4,0,0,50
13,-2,18,6,6,175
14,-2,10,1,2,54
15,0,8,1,1,49
16,-1,6,-1,1,47
17,4,17,0,2,135
18,4,13,-2,3,117
19,0,15,0,3,73
20,3,29,1,3,200
21,-1,8,-2,2,58
22,-1,82,-1,11,646
23,-2,22,-3,8,174
24,-1,4,0,0,38
25,-5,12,-1,3,130
26,-1,8,-1,1,140
27,1,14,2,2,80
28,0,7,0,0,106
29,1,9,-1,1,110
30,0,5,-1,1,35
31,-1,10,1,1,84
32,-2,12,0,0,85
33,0,27,-3,7,156
34,1,1,0,0,29
35,0,4,0,0,55
36,1,11,0,0,88
37,1,8,0,2,108
38,-1,2,-1,1,35
39,-1,8,2,2,59
40,-1,6,0,0,43
41,2,23,-1,4,202
42,0,2,-2,3,24
43,-6,23,-4,10,104
44,0,27,-3,7,156
45,1,2,-1,1,75
46,0,7,0,0,61
47,-1,6,-1,1,45
48,2,11,2,2,59
49,0,2,-1,1,21
50,4,6,0,2,81
51,1,3,0,0,42
52,-1,5,-2,3,14
53,2,2,0,0,20
54,-1,6,-1,3,40
55,-1,7,-2,2,42
56,0,13,1,1,75
57,3,12,1,6,56
58,0,12,1,1,102
59,0,2,0,0,20
60,-2,8,-2,2,37
